2026-02-23 00:16:40,809 [BLOCK] No wallet key — monitor only
2026-02-23 00:16:40,937 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:16:40,938 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:16:46,196 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0x995d8bfc7a3ff0b1ae4591697337496551116be7)
2026-02-23 00:17:33,019 [BLOCK] Wallet: 0xdc118c4e1284e61e4d5277936a64B9E08Ad9e7EE
2026-02-23 00:17:33,021 [BLOCK] Block watcher thread started
2026-02-23 00:17:33,140 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:17:33,140 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:17:38,315 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0xb000c77a5f301dddd55effe89e0c0c08999fe885)
2026-02-23 00:51:10,776 [BLOCK] Block scan took 9.76s — too slow, reduce watched pairs
2026-02-23 00:51:20,504 [BLOCK] Block scan took 9.73s — too slow, reduce watched pairs
2026-02-23 00:51:31,414 [BLOCK] Block scan took 10.91s — too slow, reduce watched pairs
2026-02-23 00:51:40,575 [BLOCK] Block scan took 9.16s — too slow, reduce watched pairs
2026-02-23 00:51:51,240 [BLOCK] Block scan took 10.66s — too slow, reduce watched pairs
2026-02-23 00:52:00,460 [BLOCK] Block scan took 9.22s — too slow, reduce watched pairs
2026-02-23 00:52:11,311 [BLOCK] Block scan took 10.85s — too slow, reduce watched pairs
2026-02-23 00:52:20,688 [BLOCK] Block scan took 9.38s — too slow, reduce watched pairs
2026-02-23 00:52:33,157 [BLOCK] Block scan took 12.46s — too slow, reduce watched pairs
2026-02-23 00:52:43,104 [BLOCK] Block scan took 9.94s — too slow, reduce watched pairs
2026-02-23 00:52:53,065 [BLOCK] Block scan took 9.96s — too slow, reduce watched pairs
2026-02-23 00:52:53,137 [BLOCK] Block 42509200 | Watching 5 pairs
2026-02-23 00:53:03,156 [BLOCK] Block scan took 10.01s — too slow, reduce watched pairs
2026-02-23 00:53:12,850 [BLOCK] Block scan took 9.69s — too slow, reduce watched pairs
2026-02-23 00:53:22,492 [BLOCK] Block scan took 9.64s — too slow, reduce watched pairs
2026-02-23 00:53:33,212 [BLOCK] Block scan took 10.72s — too slow, reduce watched pairs
2026-02-23 00:53:43,701 [BLOCK] Wallet: 0xdc118c4e1284e61e4d5277936a64B9E08Ad9e7EE
2026-02-23 00:53:43,703 [BLOCK] Block watcher thread started
2026-02-23 00:53:43,852 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0x6bc7245e2a5ecc1e99d5ed707192b22fcd1f244f)
2026-02-23 00:53:53,203 [BLOCK] Block scan took 9.22s — too slow, reduce watched pairs
2026-02-23 00:54:02,850 [BLOCK] Block scan took 9.64s — too slow, reduce watched pairs
2026-02-23 00:54:13,616 [BLOCK] Block scan took 10.77s — too slow, reduce watched pairs
2026-02-23 00:54:22,869 [BLOCK] Block scan took 9.25s — too slow, reduce watched pairs
2026-02-23 00:54:32,663 [BLOCK] Block scan took 9.79s — too slow, reduce watched pairs
2026-02-23 00:54:42,600 [BLOCK] Block scan took 9.94s — too slow, reduce watched pairs
2026-02-23 00:54:53,408 [BLOCK] Block scan took 10.80s — too slow, reduce watched pairs
2026-02-23 00:55:02,707 [BLOCK] Block scan took 9.30s — too slow, reduce watched pairs
2026-02-23 00:55:13,504 [BLOCK] Block scan took 10.80s — too slow, reduce watched pairs
2026-02-23 00:55:22,731 [BLOCK] Block scan took 9.23s — too slow, reduce watched pairs
2026-02-23 00:55:32,567 [BLOCK] Block scan took 9.83s — too slow, reduce watched pairs
2026-02-23 00:55:43,552 [BLOCK] Block scan took 10.98s — too slow, reduce watched pairs
2026-02-23 00:55:52,806 [BLOCK] Block scan took 9.25s — too slow, reduce watched pairs
2026-02-23 00:56:02,499 [BLOCK] Block scan took 9.69s — too slow, reduce watched pairs
2026-02-23 00:56:13,229 [BLOCK] Block scan took 10.73s — too slow, reduce watched pairs
2026-02-23 00:56:23,009 [BLOCK] Block scan took 9.78s — too slow, reduce watched pairs
2026-02-23 00:56:32,863 [BLOCK] Block scan took 9.85s — too slow, reduce watched pairs
2026-02-23 00:56:43,095 [BLOCK] Block scan took 10.23s — too slow, reduce watched pairs
2026-02-23 00:56:52,915 [BLOCK] Block scan took 9.82s — too slow, reduce watched pairs
2026-02-23 00:57:02,713 [BLOCK] Block scan took 9.80s — too slow, reduce watched pairs
2026-02-23 00:57:13,429 [BLOCK] Block scan took 10.72s — too slow, reduce watched pairs
2026-02-23 00:57:22,772 [BLOCK] Block scan took 9.34s — too slow, reduce watched pairs
